                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.81646,                 0.3812,                0.84757,                0.97807,                0.82883,                0.86501,                0.75258,                0.44105,                0.25626,                0.76723,               0.070204,              0.0033107,              0.0033107
                      1,                0.77134,                0.38053,                 0.8429,                0.97105,                0.83715,                0.86606,                0.74716,                0.43785,                0.25384,                0.77065,               0.040188,              0.0066275,              0.0066275
                      2,                0.70911,                0.36352,                0.85452,                0.93195,                0.83671,                0.84952,                0.73704,                0.42618,                0.24015,                0.77207,               0.010155,              0.0099279,              0.0099279
                      3,                0.70415,                0.36388,                0.85539,                0.95772,                 0.8298,                0.85427,                0.70507,                0.54588,                0.27193,                0.77898,              0.0099258,              0.0099258,              0.0099258
                      4,                0.71839,                0.36678,                0.85988,                0.94027,                0.83093,                0.85196,                0.74006,                0.44093,                0.25553,                0.77405,              0.0099258,              0.0099258,              0.0099258
                      5,                0.69403,                0.36166,                0.85497,                0.90627,                 0.8375,                0.84608,                0.71161,                0.46474,                 0.2581,                0.77602,               0.009901,               0.009901,               0.009901
                      6,                0.70919,                0.36871,                0.85639,                0.90644,                0.84062,                0.84819,                0.72104,                0.51818,                0.27378,                 0.7763,              0.0098763,              0.0098763,              0.0098763
                      7,                0.70267,                0.36879,                0.85638,                0.95967,                0.83854,                0.86043,                0.72415,                0.43299,                0.24943,                0.77474,              0.0098515,              0.0098515,              0.0098515
                      8,                0.70129,                0.37188,                0.85733,                0.96151,                0.83965,                0.85046,                0.73684,                0.45311,                0.25654,                0.77546,              0.0098268,              0.0098268,              0.0098268
                      9,                0.71114,                 0.3667,                0.86141,                0.95935,                0.83139,                 0.8591,                0.73976,                0.46953,                0.26171,                0.77714,               0.009802,               0.009802,               0.009802
                     10,                0.69849,                 0.3711,                0.86124,                0.94071,                0.82119,                0.84729,                0.71078,                0.46453,                0.26936,                0.77733,              0.0097773,              0.0097773,              0.0097773
                     11,                0.70658,                0.37146,                0.85129,                0.98258,                  0.837,                0.86583,                0.72823,                0.42524,                 0.2563,                 0.7765,              0.0097525,              0.0097525,              0.0097525
                     12,                0.70813,                0.37819,                0.86395,                0.90595,                0.83695,                0.84412,                0.72337,                0.46105,                0.25873,                0.77754,              0.0097278,              0.0097278,              0.0097278
                     13,                0.71422,                0.37175,                0.85419,                 0.9622,                0.82608,                0.85471,                0.71705,                0.47867,                0.26211,                0.77812,               0.009703,               0.009703,               0.009703
                     14,                0.71152,                0.36739,                0.85208,                0.97211,                0.83758,                0.85305,                0.71845,                 0.4245,                0.24441,                0.77378,              0.0096783,              0.0096783,              0.0096783
                     15,                0.71365,                0.36998,                0.85682,                0.96384,                0.82964,                0.85737,                0.71731,                0.46576,                0.26102,                0.77153,              0.0096535,              0.0096535,              0.0096535
                     16,                0.69425,                0.36769,                 0.8544,                0.95208,                0.83873,                0.85762,                 0.7525,                0.44123,                0.26414,                 0.7729,              0.0096288,              0.0096288,              0.0096288
                     17,                0.69334,                0.36698,                0.86083,                 0.9844,                0.81791,                0.86085,                0.75542,                0.45782,                0.26703,                 0.7799,               0.009604,               0.009604,               0.009604
                     18,                0.70662,                0.36469,                0.85379,                0.89313,                0.83251,                0.83411,                0.68238,                0.57579,                0.30309,                0.78374,              0.0095793,              0.0095793,              0.0095793
                     19,                0.72628,                0.37667,                0.85633,                0.97976,                0.83065,                 0.8586,                0.75711,                0.41389,                0.24126,                0.77257,              0.0095545,              0.0095545,              0.0095545
                     20,                0.70698,                0.37241,                0.85608,                0.97826,                0.84013,                0.86038,                0.71829,                0.45271,                0.25683,                0.77667,              0.0095298,              0.0095298,              0.0095298
                     21,                0.69434,                0.36243,                0.85486,                0.95765,                0.83185,                0.85164,                0.73465,                0.43883,                 0.2538,                0.77746,               0.009505,               0.009505,               0.009505
                     22,                0.69999,                0.36308,                0.85234,                0.95043,                0.83333,                 0.8654,                0.73156,                0.49999,                0.27571,                0.77813,              0.0094803,              0.0094803,              0.0094803
                     23,                0.69674,                0.36162,                0.86072,                0.97268,                0.83527,                0.85992,                0.74927,                0.42556,                0.24456,                0.77435,              0.0094555,              0.0094555,              0.0094555
                     24,                0.69441,                0.36062,                0.85812,                 0.9421,                0.83333,                 0.8434,                0.71872,                 0.4362,                0.25583,                0.77385,              0.0094307,              0.0094307,              0.0094307
                     25,                0.69794,                0.36535,                0.85628,                0.94593,                0.83054,                0.85637,                0.76655,                0.42889,                0.25064,                 0.7754,               0.009406,               0.009406,               0.009406
                     26,                0.69737,                0.36876,                0.85767,                0.96533,                0.82632,                0.86444,                0.74142,                0.43818,                0.25201,                0.77372,              0.0093813,              0.0093813,              0.0093813
                     27,                 0.7038,                0.36905,                0.85675,                0.89462,                 0.8305,                0.84602,                0.73074,                0.42317,                0.25078,                0.77801,              0.0093565,              0.0093565,              0.0093565
                     28,                0.68685,                0.36393,                0.85217,                0.88761,                0.83645,                0.84502,                0.74533,                0.42735,                0.25409,                0.77488,              0.0093317,              0.0093317,              0.0093317
                     29,                0.68619,                0.36114,                0.84984,                0.95729,                0.83505,                0.85413,                 0.7331,                0.43939,                0.25656,                0.77736,               0.009307,               0.009307,               0.009307
                     30,                0.69028,                0.35809,                0.84769,                0.92547,                 0.8375,                0.85278,                 0.7449,                0.43503,                0.25685,                0.77766,              0.0092823,              0.0092823,              0.0092823
                     31,                0.68745,                0.35878,                0.85438,                0.93532,                0.83854,                0.84807,                0.70964,                0.45905,                0.25332,                0.77694,              0.0092575,              0.0092575,              0.0092575
                     32,                0.68229,                0.36056,                 0.8527,                0.91644,                0.83646,                0.85115,                0.73105,                0.42793,                0.24704,                0.77595,              0.0092327,              0.0092327,              0.0092327
                     33,                0.69567,                0.36527,                0.85622,                0.92966,                0.83928,                0.84669,                0.72088,                 0.4711,                0.26486,                 0.7801,               0.009208,               0.009208,               0.009208
                     34,                0.67677,                0.35575,                0.84954,                 0.9624,                0.84062,                0.85871,                0.73111,                0.42598,                0.24147,                0.77643,              0.0091833,              0.0091833,              0.0091833
                     35,                 0.6955,                  0.364,                0.85645,                0.92153,                0.83816,                 0.8534,                0.71048,                0.47671,                0.25058,                0.77764,              0.0091585,              0.0091585,              0.0091585
                     36,                0.68027,                0.35589,                0.84817,                0.89234,                0.83244,                0.84283,                 0.7213,                0.44011,                0.25395,                0.77562,              0.0091337,              0.0091337,              0.0091337
                     37,                0.69253,                0.36402,                0.85552,                0.96062,                0.83876,                0.86121,                 0.7446,                0.42037,                0.24229,                0.77401,               0.009109,               0.009109,               0.009109
                     38,                 0.7051,                0.36666,                0.85685,                0.94996,                 0.8392,                0.86297,                0.74398,                0.43079,                0.23859,                0.77182,              0.0090843,              0.0090843,              0.0090843
                     39,                0.68822,                0.35879,                 0.8526,                0.93625,                 0.8304,                0.84148,                0.72721,                0.42345,                0.24699,                0.77444,              0.0090595,              0.0090595,              0.0090595
                     40,                0.68688,                0.35764,                 0.8497,                0.94847,                0.82601,                0.85316,                0.73883,                 0.4486,                0.26257,                0.77789,              0.0090347,              0.0090347,              0.0090347
                     41,                0.67857,                0.35511,                  0.853,                 0.9219,                0.83325,                0.85772,                0.72642,                 0.4596,                0.25137,                0.77774,                0.00901,                0.00901,                0.00901
                     42,                0.68822,                0.35585,                0.85366,                0.88768,                0.83879,                  0.842,                0.70837,                0.45918,                0.25482,                0.77941,              0.0089853,              0.0089853,              0.0089853
                     43,                0.68332,                 0.3608,                0.84929,                0.97165,                0.83805,                0.85583,                0.73948,                0.40369,                0.24022,                0.77339,              0.0089605,              0.0089605,              0.0089605
                     44,                0.67743,                 0.3545,                0.85466,                0.93354,                0.83466,                 0.8472,                0.73364,                0.40112,                0.24006,                0.77435,              0.0089358,              0.0089358,              0.0089358
                     45,                0.68539,                 0.3624,                0.84535,                0.96095,                0.83009,                0.85829,                0.73241,                0.42962,                0.24911,                0.77255,               0.008911,               0.008911,               0.008911
                     46,                0.67725,                0.36064,                 0.8502,                0.94422,                0.82001,                0.84818,                0.73043,                 0.4151,                0.24928,                 0.7703,              0.0088863,              0.0088863,              0.0088863
                     47,                0.66811,                0.35809,                0.85182,                 0.9747,                0.83076,                0.86564,                0.76032,                0.44785,                0.25629,                0.77371,              0.0088615,              0.0088615,              0.0088615
                     48,                0.67136,                0.35618,                0.84681,                0.94428,                0.82866,                0.85086,                 0.7379,                0.40883,                 0.2445,                0.77304,              0.0088368,              0.0088368,              0.0088368
                     49,                  0.675,                 0.3579,                 0.8494,                0.86467,                0.83323,                 0.8321,                0.72205,                0.40962,                0.23688,                0.77536,               0.008812,               0.008812,               0.008812
                     50,                0.67408,                0.35802,                0.85355,                0.93913,                0.83504,                0.85557,                0.71912,                0.42575,                0.25736,                0.77432,              0.0087872,              0.0087872,              0.0087872
